bvp,time,sensor,phase,eda,temp,PPG GREEN
8.25,1549375736.34375,empatica_bvp,baseline,,,
-6.91,1549375736.359375,empatica_bvp,baseline,,,
-21.95,1549375736.375,empatica_bvp,baseline,,,
-36.21,1549375736.390625,empatica_bvp,baseline,,,
-49.18,1549375736.40625,empatica_bvp,baseline,,,
-60.85,1549375736.421875,empatica_bvp,baseline,,,
-71.76,1549375736.4375,empatica_bvp,baseline,,,
-82.86,1549375736.453125,empatica_bvp,baseline,,,
-95.16,1549375736.46875,empatica_bvp,baseline,,,
-109.41,1549375736.484375,empatica_bvp,baseline,,,
-125.87,1549375736.5,empatica_bvp,baseline,,,
-144.23,1549375736.515625,empatica_bvp,baseline,,,
-163.59,1549375736.53125,empatica_bvp,baseline,,,
-182.55,1549375736.546875,empatica_bvp,baseline,,,
-199.31,1549375736.5625,empatica_bvp,baseline,,,
-211.9,1549375736.578125,empatica_bvp,baseline,,,
-218.52,1549375736.59375,empatica_bvp,baseline,,,
-217.93,1549375736.609375,empatica_bvp,baseline,,,
-209.8,1549375736.625,empatica_bvp,baseline,,,
-194.9,1549375736.640625,empatica_bvp,baseline,,,
-174.99,1549375736.65625,empatica_bvp,baseline,,,
-152.46,1549375736.671875,empatica_bvp,baseline,,,
-129.7,1549375736.6875,empatica_bvp,baseline,,,
-108.59,1549375736.703125,empatica_bvp,baseline,,,
-90.12,1549375736.71875,empatica_bvp,baseline,,,
-74.33,1549375736.734375,empatica_bvp,baseline,,,
-60.54,1549375736.75,empatica_bvp,baseline,,,
-47.78,1549375736.765625,empatica_bvp,baseline,,,
-35.22,1549375736.78125,empatica_bvp,baseline,,,
-22.5,1549375736.796875,empatica_bvp,baseline,,,
-9.81,1549375736.8125,empatica_bvp,baseline,,,
2.25,1549375736.828125,empatica_bvp,baseline,,,
12.97,1549375736.84375,empatica_bvp,baseline,,,
21.81,1549375736.859375,empatica_bvp,baseline,,,
28.64,1549375736.875,empatica_bvp,baseline,,,
33.72,1549375736.890625,empatica_bvp,baseline,,,
37.53,1549375736.90625,empatica_bvp,baseline,,,
40.56,1549375736.921875,empatica_bvp,baseline,,,
43.13,1549375736.9375,empatica_bvp,baseline,,,
45.42,1549375736.953125,empatica_bvp,baseline,,,
47.48,1549375736.96875,empatica_bvp,baseline,,,
49.4,1549375736.984375,empatica_bvp,baseline,,,
51.23,1549375737.0,empatica_bvp,baseline,,,
53.0,1549375737.015625,empatica_bvp,baseline,,,
54.53,1549375737.03125,empatica_bvp,baseline,,,
55.44,1549375737.046875,empatica_bvp,baseline,,,
55.29,1549375737.0625,empatica_bvp,baseline,,,
53.74,1549375737.078125,empatica_bvp,baseline,,,
50.75,1549375737.09375,empatica_bvp,baseline,,,
46.67,1549375737.109375,empatica_bvp,baseline,,,
42.11,1549375737.125,empatica_bvp,baseline,,,
37.71,1549375737.140625,empatica_bvp,baseline,,,
33.85,1549375737.15625,empatica_bvp,baseline,,,
30.55,1549375737.171875,empatica_bvp,baseline,,,
27.43,1549375737.1875,empatica_bvp,baseline,,,
24.02,1549375737.203125,empatica_bvp,baseline,,,
19.99,1549375737.21875,empatica_bvp,baseline,,,
15.28,1549375737.234375,empatica_bvp,baseline,,,
10.11,1549375737.25,empatica_bvp,baseline,,,
4.87,1549375737.265625,empatica_bvp,baseline,,,
-0.13,1549375737.28125,empatica_bvp,baseline,,,
-4.74,1549375737.296875,empatica_bvp,baseline,,,
-9.06,1549375737.3125,empatica_bvp,baseline,,,
-13.38,1549375737.328125,empatica_bvp,baseline,,,
-18.13,1549375737.34375,empatica_bvp,baseline,,,
-23.77,1549375737.359375,empatica_bvp,baseline,,,
